Mon Oct 31 16:25:19 2022    profiling_saves/first_profile.stat

         904343 function calls (903380 primitive calls) in 328.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.012    0.004 /usr/lib/python3.7/threading.py:834(start)
   114740    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
        3    0.010    0.003    0.012    0.004 /content/src/lib/utils.py:8(precompute_dict_of_classes)
      400    0.008    0.000    0.008    0.000 {built-in method torch.argmax}
      288    0.008    0.000    0.008    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.008    0.004 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/pooling.py:161(forward)
        2    0.000    0.000    0.008    0.004 /usr/local/lib/python3.7/dist-packages/torch/_jit_internal.py:413(fn)
        2    0.000    0.000    0.008    0.004 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:760(_max_pool2d)
        2    0.000    0.000    0.008    0.004 /usr/lib/python3.7/multiprocessing/util.py:433(_flush_std_streams)
        2    0.008    0.004    0.008    0.004 {built-in method torch.max_pool2d}
        4    0.000    0.000    0.008    0.002 /usr/local/lib/python3.7/dist-packages/ipykernel/iostream.py:337(flush)
        2    0.000    0.000    0.007    0.004 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/pooling.py:1178(forward)
        2    0.000    0.000    0.007    0.004 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:1200(adaptive_avg_pool2d)
        2    0.007    0.004    0.007    0.004 /content/src/lib/loss_functions.py:277(<listcomp>)
        2    0.007    0.004    0.007    0.004 {built-in method torch._C._nn.adaptive_avg_pool2d}
        2    0.007    0.004    0.007    0.004 /content/src/lib/loss_functions.py:170(precompute_negative_class)
   112614    0.006    0.000    0.006    0.000 {built-in method builtins.len}
   107953    0.006    0.000    0.006    0.000 {method 'bit_length' of 'int' objects}
      400    0.006    0.000    0.006    0.000 {built-in method torch.relu}
      124    0.006    0.000    0.006    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
       34    0.000    0.000    0.006    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/activation.py:97(forward)
       34    0.000    0.000    0.006    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:1446(relu)
      5/2    0.000    0.000    0.006    0.003 /usr/local/lib/python3.7/dist-packages/torch/cuda/__init__.py:191(_lazy_init)
       34    0.006    0.000    0.006    0.000 {built-in method torch.relu_}
        4    0.000    0.000    0.004    0.001 {built-in method builtins.print}
        8    0.000    0.000    0.004    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/redirect.py:639(write)
        1    0.004    0.004    0.004    0.004 {built-in method torch._C._cuda_init}
