Wed Feb  1 17:32:48 2023    src/profiling/third_profile.stat

         65671839 function calls (65629444 primitive calls) in 2632.358 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7200    0.101    0.000    0.101    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
     3808    0.009    0.000    0.100    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/activation.py:101(forward)
    70000    0.042    0.000    0.098    0.000 /usr/lib/python3.8/random.py:200(randrange)
      272    0.002    0.000    0.094    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/interface/interface_shared.py:85(_publish_partial_history)
      422    0.002    0.000    0.093    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/lib/sock_client.py:121(_sendall_with_error_handle)
     3808    0.007    0.000    0.091    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:1446(relu)
      422    0.091    0.000    0.091    0.000 {method 'send' of '_socket.socket' objects}
    21600    0.076    0.000    0.091    0.000 /content/src/lib/loss_functions.py:305(<listcomp>)
  1114914    0.084    0.000    0.084    0.000 {method 'getrandbits' of '_random.Random' objects}
     3808    0.083    0.000    0.083    0.000 {built-in method torch.relu_}
       26    0.001    0.000    0.079    0.003 /usr/lib/python3.8/multiprocessing/util.py:433(_flush_std_streams)
       52    0.001    0.000    0.078    0.002 /usr/local/lib/python3.8/dist-packages/ipykernel/iostream.py:337(flush)
      119    0.001    0.000    0.074    0.001 /usr/lib/python3.8/logging/__init__.py:1565(_log)
      114    0.001    0.000    0.074    0.001 /usr/lib/python3.8/logging/__init__.py:1424(debug)
       86    0.001    0.000    0.067    0.001 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:82(is_available)
       21    0.000    0.000    0.067    0.003 /content/src/lib/core.py:72(get_device)
       86    0.066    0.001    0.066    0.001 {built-in method torch._C._cuda_getDeviceCount}
      311    0.003    0.000    0.065    0.000 /usr/local/lib/python3.8/dist-packages/ipykernel/iostream.py:197(schedule)
       52    0.001    0.000    0.064    0.001 /usr/lib/python3.8/threading.py:834(start)
      119    0.001    0.000    0.062    0.001 /usr/lib/python3.8/logging/__init__.py:1591(handle)
      119    0.001    0.000    0.062    0.001 /usr/lib/python3.8/logging/__init__.py:1645(callHandlers)
      119    0.001    0.000    0.061    0.001 /usr/lib/python3.8/logging/__init__.py:941(handle)
      119    0.001    0.000    0.059    0.000 /usr/lib/python3.8/logging/__init__.py:1178(emit)
      311    0.059    0.000    0.059    0.000 /usr/local/lib/python3.8/dist-packages/zmq/sugar/socket.py:543(send)
      119    0.001    0.000    0.058    0.000 /usr/lib/python3.8/logging/__init__.py:1073(emit)
      150    0.000    0.000    0.058    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/wandb_run.py:2028(<lambda>)
      150    0.001    0.000    0.058    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/wandb_run.py:1377(_console_raw_callback)
     6200    0.057    0.000    0.057    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
      150    0.005    0.000    0.057    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/interface/interface.py:644(publish_output_raw)
      324    0.002    0.000    0.056    0.000 /usr/local/lib/python3.8/dist-packages/torch/_tensor.py:906(__iter__)
      324    0.053    0.000    0.053    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
   750875    0.052    0.000    0.052    0.000 {method 'bit_length' of 'int' objects}
      119    0.001    0.000    0.051    0.000 /usr/lib/python3.8/logging/__init__.py:1062(flush)
       50    0.011    0.000    0.050    0.001 /usr/local/lib/python3.8/dist-packages/torch/optim/optimizer.py:246(zero_grad)
      119    0.049    0.000    0.049    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      311    0.003    0.000    0.047    0.000 /usr/lib/python3.8/multiprocessing/queues.py:80(put)
      150    0.001    0.000    0.044    0.000 /usr/local/lib/python3.8/dist-packages/ipykernel/iostream.py:386(write)
      150    0.002    0.000    0.044    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/interface/interface_shared.py:76(_publish_output_raw)
      650    0.002    0.000    0.039    0.000 /usr/local/lib/python3.8/dist-packages/torch/_ops.py:437(__call__)
      232    0.035    0.000    0.035    0.000 {built-in method torch.cat}
     3100    0.033    0.000    0.033    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
       39    0.002    0.000    0.033    0.001 /usr/lib/python3.8/multiprocessing/queues.py:158(_start_thread)
      224    0.001    0.000    0.032    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/linear.py:113(forward)
     3038    0.032    0.000    0.032    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
     3100    0.031    0.000    0.031    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
      224    0.031    0.000    0.031    0.000 {built-in method torch._C._nn.linear}
      325    0.003    0.000    0.030    0.000 /usr/local/lib/python3.8/dist-packages/torch/autograd/profiler.py:491(__exit__)
      224    0.001    0.000    0.029    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1355(_process_data)
       39    0.002    0.000    0.029    0.001 /usr/lib/python3.8/multiprocessing/context.py:100(Queue)
       39    0.002    0.000    0.026    0.001 /usr/lib/python3.8/multiprocessing/queues.py:36(__init__)
      224    0.001    0.000    0.026    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/pooling.py:1183(forward)
      325    0.026    0.000    0.026    0.000 {built-in method torch._ops.profiler._record_function_exit}
      224    0.004    0.000    0.025    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:1200(adaptive_avg_pool2d)
      122    0.001    0.000    0.024    0.000 /usr/local/lib/python3.8/dist-packages/torch/storage.py:117(cpu)
      122    0.023    0.000    0.023    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
      143    0.022    0.000    0.022    0.000 {built-in method posix.close}
