Mon Oct 31 18:50:26 2022    profiling_saves/second_profile.stat

         125222734 function calls (125180456 primitive calls) in 947.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.002    0.000    0.090    0.002 /usr/local/lib/python3.7/dist-packages/ipykernel/iostream.py:337(flush)
      422    0.008    0.000    0.090    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface_sock.py:49(_publish)
      113    0.001    0.000    0.086    0.001 /usr/lib/python3.7/multiprocessing/popen_fork.py:25(poll)
       87    0.085    0.001    0.085    0.001 {built-in method posix.waitpid}
      311    0.003    0.000    0.084    0.000 /usr/local/lib/python3.7/dist-packages/ipykernel/iostream.py:197(schedule)
      422    0.003    0.000    0.080    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/sock_client.py:218(send_record_publish)
      311    0.078    0.000    0.078    0.000 /usr/local/lib/python3.7/dist-packages/zmq/sugar/socket.py:543(send)
      311    0.004    0.000    0.078    0.000 /usr/lib/python3.7/multiprocessing/queues.py:80(put)
      422    0.001    0.000    0.074    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/sock_client.py:154(send_server_request)
      422    0.010    0.000    0.073    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/sock_client.py:145(_send_message)
794140/794116    0.066    0.000    0.071    0.000 {built-in method builtins.len}
       91    0.064    0.001    0.064    0.001 {built-in method posix.close}
      119    0.001    0.000    0.063    0.001 /usr/lib/python3.7/logging/__init__.py:1491(_log)
      114    0.001    0.000    0.061    0.001 /usr/lib/python3.7/logging/__init__.py:1356(debug)
      272    0.002    0.000    0.061    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface_shared.py:81(_publish_partial_history)
      150    0.002    0.000    0.061    0.000 /usr/local/lib/python3.7/dist-packages/ipykernel/iostream.py:386(write)
   750476    0.058    0.000    0.058    0.000 {method 'bit_length' of 'int' objects}
       39    0.002    0.000    0.057    0.001 /usr/lib/python3.7/multiprocessing/queues.py:155(_start_thread)
      150    0.000    0.000    0.057    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/wandb_run.py:1907(<lambda>)
      150    0.001    0.000    0.056    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/wandb_run.py:1288(_console_raw_callback)
      150    0.005    0.000    0.055    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface.py:614(publish_output_raw)
      422    0.002    0.000    0.055    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/sock_client.py:121(_sendall_with_error_handle)
      224    0.001    0.000    0.053    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/pooling.py:1178(forward)
     6200    0.053    0.000    0.053    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
      422    0.053    0.000    0.053    0.000 {method 'send' of '_socket.socket' objects}
      224    0.004    0.000    0.052    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:1200(adaptive_avg_pool2d)
      325    0.004    0.000    0.051    0.000 /usr/local/lib/python3.7/dist-packages/torch/autograd/profiler.py:449(__exit__)
      325    0.003    0.000    0.051    0.000 /usr/local/lib/python3.7/dist-packages/torch/autograd/profiler.py:436(__init__)
      119    0.001    0.000    0.050    0.000 /usr/lib/python3.7/logging/__init__.py:1516(handle)
      119    0.001    0.000    0.049    0.000 /usr/lib/python3.7/logging/__init__.py:1570(callHandlers)
      325    0.049    0.000    0.049    0.000 {built-in method torch.zeros}
      119    0.001    0.000    0.048    0.000 /usr/lib/python3.7/logging/__init__.py:881(handle)
      119    0.001    0.000    0.047    0.000 /usr/lib/python3.7/logging/__init__.py:1118(emit)
      325    0.047    0.000    0.047    0.000 {built-in method torch._ops.profiler._record_function_exit}
      325    0.005    0.000    0.046    0.000 /usr/local/lib/python3.7/dist-packages/torch/autograd/profiler.py:445(__enter__)
      119    0.001    0.000    0.046    0.000 /usr/lib/python3.7/logging/__init__.py:1013(emit)
      224    0.044    0.000    0.044    0.000 {built-in method torch._C._nn.adaptive_avg_pool2d}
      224    0.001    0.000    0.043    0.000 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1398(_process_data)
      150    0.001    0.000    0.043    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface_shared.py:72(_publish_output_raw)
     3100    0.043    0.000    0.043    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
      224    0.003    0.000    0.040    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/pooling.py:161(forward)
      325    0.040    0.000    0.040    0.000 {built-in method torch._ops.profiler._record_function_enter}
      119    0.002    0.000    0.039    0.000 /usr/lib/python3.7/logging/__init__.py:1002(flush)
      224    0.001    0.000    0.038    0.000 /usr/local/lib/python3.7/dist-packages/torch/_jit_internal.py:413(fn)
      224    0.001    0.000    0.037    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:760(_max_pool2d)
      119    0.036    0.000    0.036    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      224    0.036    0.000    0.036    0.000 {built-in method torch.max_pool2d}
      122    0.001    0.000    0.034    0.000 /usr/local/lib/python3.7/dist-packages/torch/storage.py:109(cpu)
      232    0.034    0.000    0.034    0.000 {built-in method torch.cat}
       39    0.002    0.000    0.033    0.001 /usr/lib/python3.7/multiprocessing/context.py:99(Queue)
      122    0.033    0.000    0.033    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
       39    0.002    0.000    0.030    0.001 /usr/lib/python3.7/multiprocessing/queues.py:36(__init__)
    16836    0.028    0.000    0.028    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
   216779    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
     3100    0.026    0.000    0.026    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
     1044    0.019    0.000    0.024    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1210(__setattr__)
      150    0.000    0.000    0.023    0.000 /usr/local/lib/python3.7/dist-packages/ipykernel/iostream.py:323(_schedule_flush)
      182    0.009    0.000    0.021    0.000 /usr/lib/python3.7/multiprocessing/synchronize.py:50(__init__)
    23560    0.017    0.000    0.021    0.000 /usr/local/lib/python3.7/dist-packages/torch/_tensor.py:1071(grad)
       13    0.000    0.000    0.019    0.001 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:621(__init__)
     4480    0.010    0.000    0.018    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/batchnorm.py:405(_check_input_dim)
       19    0.018    0.001    0.018    0.001 {method 'random_' of 'torch._C._TensorBase' objects}
       91    0.001    0.000    0.017    0.000 /usr/lib/python3.7/multiprocessing/context.py:64(Lock)
      590    0.003    0.000    0.016    0.000 /usr/lib/python3.7/threading.py:335(notify)
       91    0.000    0.000    0.016    0.000 /usr/lib/python3.7/multiprocessing/synchronize.py:161(__init__)
    24006    0.005    0.000    0.015    0.000 /usr/local/lib/python3.7/dist-packages/torch/utils/data/sampler.py:117(__iter__)
        1    0.001    0.001    0.014    0.014 {method 'dump' of '_pickle.Pickler' objects}
    13529    0.014    0.000    0.014    0.000 {built-in method builtins.iter}
15438/14092    0.006    0.000    0.014    0.000 {built-in method builtins.isinstance}
        1    0.012    0.012    0.012    0.012 /usr/local/lib/python3.7/dist-packages/torch/serialization.py:258(__exit__)
      511    0.012    0.000    0.012    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.012    0.012 /usr/local/lib/python3.7/dist-packages/torch/serialization.py:263(_open_zipfile_writer)
        1    0.012    0.012    0.012    0.012 /usr/local/lib/python3.7/dist-packages/torch/serialization.py:254(__init__)
      272    0.001    0.000    0.011    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/data_types/utils.py:32(history_dict_to_json)
       50    0.001    0.000    0.011    0.000 /usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:30(_make_grads)
       50    0.000    0.000    0.010    0.000 /usr/local/lib/python3.7/dist-packages/torch/optim/optimizer.py:84(_cuda_graph_capture_health_check)
      302    0.003    0.000    0.010    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/data_types/utils.py:60(val_to_json)
       50    0.010    0.000    0.010    0.000 {built-in method torch.ones_like}
      272    0.004    0.000    0.010    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface_shared.py:115(_make_request)
   828/12    0.002    0.000    0.010    0.001 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1820(train)
      122    0.000    0.000    0.009    0.000 /usr/local/lib/python3.7/dist-packages/torch/_tensor.py:175(__reduce_ex__)
      122    0.001    0.000    0.009    0.000 /usr/local/lib/python3.7/dist-packages/torch/_tensor.py:207(_reduce_ex_internal)
      182    0.001    0.000    0.009    0.000 /usr/local/lib/python3.7/dist-packages/joblib/externals/loky/backend/__init__.py:7(_make_name)
       50    0.002    0.000    0.008    0.000 /usr/local/lib/python3.7/dist-packages/torch/cuda/graphs.py:18(is_current_stream_capturing)
     1116    0.008    0.000    0.008    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
     4480    0.005    0.000    0.008    0.000 /usr/local/lib/python3.7/dist-packages/torch/backends/__init__.py:31(__get__)
      119    0.000    0.000    0.008    0.000 /usr/lib/python3.7/logging/__init__.py:1476(makeRecord)
     1054    0.001    0.000    0.008    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:581(compute_should_use_set_data)
      119    0.004    0.000    0.008    0.000 /usr/lib/python3.7/logging/__init__.py:282(__init__)
       65    0.007    0.000    0.007    0.000 {built-in method posix.pipe}
    17/14    0.000    0.000    0.007    0.001 /usr/local/lib/python3.7/dist-packages/torch/cuda/__init__.py:191(_lazy_init)
      182    0.001    0.000    0.007    0.000 /usr/lib/python3.7/tempfile.py:292(__next__)
       50    0.007    0.000    0.007    0.000 {built-in method torch._C._cuda_isCurrentStreamCapturing}
     1568    0.004    0.000    0.007    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/container.py:129(__iter__)
      590    0.004    0.000    0.007    0.000 /usr/lib/python3.7/threading.py:1092(is_alive)
      122    0.007    0.000    0.007    0.000 {method 'stride' of 'torch._C._TensorBase' objects}
     2220    0.002    0.000    0.006    0.000 /usr/local/lib/python3.7/dist-packages/torch/autograd/grad_mode.py:226(__init__)
       39    0.001    0.000    0.006    0.000 /usr/lib/python3.7/multiprocessing/connection.py:506(Pipe)
